Date,Open,High,Low,Close,Adj Close,Volume
9/21/2021,295.69,297.54,294.07,294.80,294.26,22364100.00
9/22/2021,296.73,300.22,294.51,298.58,298.03,26626300.00
9/23/2021,298.85,300.90,297.53,299.56,299.01,18604600.00
9/24/2021,298.23,299.80,296.93,299.35,298.80,14999000.00
9/27/2021,296.14,296.47,292.94,294.17,293.63,23571700.00
9/28/2021,289.80,290.78,282.75,283.52,283.00,43186200.00
9/29/2021,285.10,286.77,283.01,284.00,283.48,26353700.00
9/30/2021,285.71,287.83,281.62,281.92,281.41,32325800.00
10/1/2021,282.12,289.98,281.29,289.10,288.57,30086300.00
10/4/2021,287.40,287.75,280.25,283.11,282.59,31350700.00
10/5/2021,284.05,290.40,284.05,288.76,288.23,24993000.00
10/6/2021,285.78,293.63,285.51,293.11,292.57,28002600.00
10/7/2021,295.18,296.64,293.92,294.85,294.31,20430500.00
10/8/2021,296.22,296.64,293.76,294.85,294.31,17680300.00
10/11/2021,292.92,297.97,292.75,294.23,293.69,19298600.00
10/12/2021,295.34,295.44,292.35,292.88,292.35,17974100.00
10/13/2021,294.91,297.28,293.49,296.31,295.77,23416300.00
10/14/2021,299.21,303.27,297.83,302.75,302.20,27262900.00
10/15/2021,302.34,304.45,300.52,304.21,303.65,25374700.00
10/18/2021,303.57,308.21,302.69,307.29,306.73,22729300.00
10/19/2021,308.35,309.30,307.22,308.23,307.67,17682100.00
10/20/2021,309.21,309.70,306.11,307.41,306.85,16537100.00
10/21/2021,307.17,311.02,306.36,310.76,310.19,16918100.00
10/22/2021,310.40,311.09,307.80,309.16,308.60,17449300.00
10/25/2021,309.36,309.40,306.46,308.13,307.57,17554500.00
10/26/2021,311.00,312.40,308.60,310.11,309.54,28107300.00
10/27/2021,316.00,326.10,316.00,323.17,322.58,52588700.00
10/28/2021,324.33,324.87,321.36,324.35,323.76,26297900.00
10/29/2021,324.13,332.00,323.90,331.62,331.01,34744900.00
11/1/2021,331.36,331.49,326.37,329.37,328.77,27073200.00
11/2/2021,330.31,333.45,330.00,333.13,332.52,26487100.00
11/3/2021,333.90,334.90,330.65,334.00,333.39,21500100.00
11/4/2021,332.89,336.54,329.51,336.44,335.83,23992200.00
11/5/2021,338.51,338.79,334.42,336.06,335.45,22564000.00
11/8/2021,337.30,337.65,334.44,336.99,336.37,20897000.00
11/9/2021,337.11,338.72,334.53,335.95,335.34,21307400.00
11/10/2021,334.57,334.63,329.92,330.80,330.20,25500900.00
11/11/2021,331.25,333.77,330.51,332.43,331.82,16849800.00
11/12/2021,333.92,337.23,333.79,336.72,336.11,23822000.00
11/15/2021,337.54,337.88,334.03,336.07,335.46,16723000.00
11/16/2021,335.68,340.67,335.51,339.51,338.89,20886800.00
11/17/2021,338.94,342.19,338.00,339.12,339.12,19053400.00
11/18/2021,338.18,342.45,337.12,341.27,341.27,22463500.00
11/19/2021,342.64,345.10,342.20,343.11,343.11,21963400.00
11/22/2021,344.62,349.67,339.55,339.83,339.83,31031100.00
11/23/2021,337.05,339.45,333.56,337.68,337.68,30427600.00
11/24/2021,336.28,338.16,333.91,337.91,337.91,21661300.00
11/26/2021,334.35,337.93,328.12,329.68,329.68,24217200.00
11/29/2021,334.94,339.03,334.74,336.63,336.63,28563500.00
11/30/2021,335.32,337.78,328.99,330.59,330.59,42885600.00
12/1/2021,335.13,339.28,329.39,330.08,330.08,33337600.00
12/2/2021,330.30,333.49,327.80,329.49,329.49,30766000.00
12/3/2021,331.99,332.70,318.03,323.01,323.01,41755900.00
12/6/2021,323.95,327.45,319.23,326.19,326.19,30032600.00
12/7/2021,331.64,335.80,330.10,334.92,334.92,31021900.00
12/8/2021,335.31,335.50,330.80,334.97,334.97,24761000.00
12/9/2021,334.41,336.49,332.12,333.10,333.10,22214200.00
12/10/2021,334.98,343.00,334.79,342.54,342.54,38077300.00
12/13/2021,340.68,343.79,339.08,339.40,339.40,28899400.00
12/14/2021,333.22,334.64,324.11,328.34,328.34,44438700.00
12/15/2021,328.61,335.19,324.50,334.65,334.65,35381100.00
12/16/2021,335.71,336.76,323.02,324.90,324.90,35034800.00
12/17/2021,320.88,324.92,317.25,323.80,323.80,47750300.00
12/20/2021,320.05,322.80,317.57,319.91,319.91,28326500.00
12/21/2021,323.29,327.73,319.80,327.29,327.29,24740600.00
12/22/2021,328.30,333.61,325.75,333.20,333.20,24831500.00
12/23/2021,332.75,336.39,332.73,334.69,334.69,19617800.00
12/27/2021,335.46,342.48,335.43,342.45,342.45,19947000.00
12/28/2021,343.15,343.81,340.32,341.25,341.25,15661500.00
12/29/2021,341.30,344.30,339.68,341.95,341.95,15042000.00
12/30/2021,341.91,343.13,338.82,339.32,339.32,15994500.00
12/31/2021,338.51,339.36,335.85,336.32,336.32,17986600.00
1/3/2022,335.35,338.00,329.78,334.75,334.75,28865100.00
1/4/2022,334.83,335.20,326.12,329.01,329.01,32674300.00
1/5/2022,325.86,326.07,315.98,316.38,316.38,40054300.00
1/6/2022,313.15,318.70,311.49,313.88,313.88,39646100.00
1/7/2022,314.15,316.50,310.09,314.04,314.04,32674000.00
1/10/2022,309.49,314.72,304.69,314.27,314.27,44289500.00
1/11/2022,313.38,316.61,309.89,314.98,314.98,29386800.00
1/12/2022,319.67,323.41,317.08,318.27,318.27,34372200.00
